Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7","C_0603_1608Metric",55.775000,-53.000000,-90.000000,top
"C2","100n","C_0402_1005Metric",54.500000,-53.000000,-90.000000,top
"C3","6p","C_0402_1005Metric",41.080000,-48.050000,180.000000,top
"C4","6p","C_0402_1005Metric",41.820000,-53.350000,180.000000,top
"C5","1u","C_0603_1608Metric",44.350000,-54.450000,-90.000000,top
"C6","100n","C_0402_1005Metric",45.600000,-53.880000,-90.000000,top
"C7","10u","C_1206_3216Metric",54.025000,-31.900000,0.000000,top
"C8","10u","C_1206_3216Metric",59.275000,-31.900000,0.000000,top
"C12","10n","C_0402_1005Metric",67.170000,-61.150000,180.000000,top
"D3","Green","LED_0603_1608Metric",38.850000,-33.287500,90.000000,top
"D4","Yellow","LED_0603_1608Metric",38.750000,-67.250000,90.000000,top
"D5","LED_RGBA","WE_WL-SFCD-150066M153000",66.750000,-59.500000,0.000000,top
"F1","1A/33V","Fuse_1206_3216Metric",50.500000,-40.300000,180.000000,top
"FB1","100@100MHz","L_0603_1608Metric",51.737500,-34.200000,180.000000,top
"J1","PWR","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",47.500000,-35.000000,180.000000,top
"J2","I2C1","Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal",65.050000,-51.000000,90.000000,top
"J3","SWD","PinHeader_2x05_P1.27mm_Vertical_SMD",35.000000,-42.500000,0.000000,top
"J4","USART1","Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal",48.000000,-65.050000,0.000000,top
"Q1","AO3401A","SOT-23",51.900000,-37.200000,-90.000000,top
"R2","0","R_0402_1005Metric",44.800000,-51.375000,180.000000,top
"R3","4k7","R_0402_1005Metric",68.600000,-44.240000,-90.000000,top
"R6","4k7","R_0402_1005Metric",67.500000,-44.240000,-90.000000,top
"R7","1k5","R_0402_1005Metric",40.300000,-33.010000,-90.000000,top
"R8","1k5","R_0402_1005Metric",55.500000,-59.400000,180.000000,top
"R9","1k5","R_0402_1005Metric",55.500000,-58.200000,180.000000,top
"R10","1k5","R_0402_1005Metric",55.500000,-57.000000,180.000000,top
"R11","1k5","R_0402_1005Metric",46.620000,-57.500000,0.000000,top
"R12","10k","R_0402_1005Metric",35.250000,-55.240000,90.000000,top
"SW1","BOOT","SW_SPDT_PCM12",32.100000,-55.000000,-90.000000,top
"U1","STM32F030F4Px","TSSOP-20_4.4x6.5mm_P0.65mm",50.000000,-53.000000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",57.800000,-37.850000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",41.450000,-50.700000,-90.000000,top
